X(Numero de onda),Y(Abs)
3998.71156,-0.00497
3998.00357,-0.00496
3997.29558,-0.00494
3996.5876,-0.00493
3995.87961,-0.00491
3995.17162,-0.00489
3994.46363,-0.00488
3993.75565,-0.00486
3993.04766,-0.00485
3992.33967,-0.00483
3991.63169,-0.00482
3990.9237,-0.00481
3990.21571,-0.0048
3989.50772,-0.00478
3988.79974,-0.00477
3988.09175,-0.00476
3987.38376,-0.00475
3986.67578,-0.00474
3985.96779,-0.00474
3985.2598,-0.00473
3984.55181,-0.00472
3983.84383,-0.00472
3983.13584,-0.00471
3982.42785,-0.00471
3981.71987,-0.0047
3981.01188,-0.0047
3980.30389,-0.00469
3979.5959,-0.00469
3978.88792,-0.00468
3978.17993,-0.00468
3977.47194,-0.00468
3976.76396,-0.00467
3976.05597,-0.00467
3975.34798,-0.00467
3974.63999,-0.00466
3973.93201,-0.00466
3973.22402,-0.00466
3972.51603,-0.00466
3971.80805,-0.00465
3971.10006,-0.00465
3970.39207,-0.00465
3969.68408,-0.00464
3968.9761,-0.00464
3968.26811,-0.00463
3967.56012,-0.00462
3966.85213,-0.00462
3966.14415,-0.0046
3965.43616,-0.00459
3964.72817,-0.00458
3964.02019,-0.00456
3963.3122,-0.00454
3962.60421,-0.00451
3961.89622,-0.00448
3961.18824,-0.00445
3960.48025,-0.00442
3959.77226,-0.00438
3959.06428,-0.00434
3958.35629,-0.00429
3957.6483,-0.00425
3956.94031,-0.0042
3956.23233,-0.00414
3955.52434,-0.00409
3954.81635,-0.00404
3954.10837,-0.00398
3953.40038,-0.00392
3952.69239,-0.00387
3951.9844,-0.00382
3951.27642,-0.00376
3950.56843,-0.00371
3949.86044,-0.00366
3949.15246,-0.00362
3948.44447,-0.00358
3947.73648,-0.00354
3947.02849,-0.0035
3946.32051,-0.00347
3945.61252,-0.00345
3944.90453,-0.00342
3944.19655,-0.0034
3943.48856,-0.00338
3942.78057,-0.00337
3942.07258,-0.00336
3941.3646,-0.00334
3940.65661,-0.00333
3939.94862,-0.00332
3939.24064,-0.00331
3938.53265,-0.00329
3937.82466,-0.00328
3937.11667,-0.00326
3936.40869,-0.00324
3935.7007,-0.00322
3934.99271,-0.0032
3934.28472,-0.00317
3933.57674,-0.00315
