X(Numero de onda),Y(Abs)
3998.71156,-0.00157
3998.00357,-0.00157
3997.29558,-0.00158
3996.5876,-0.00159
3995.87961,-0.00159
3995.17162,-0.0016
3994.46363,-0.0016
3993.75565,-0.00161
3993.04766,-0.00162
3992.33967,-0.00162
3991.63169,-0.00163
3990.9237,-0.00164
3990.21571,-0.00164
3989.50772,-0.00165
3988.79974,-0.00166
3988.09175,-0.00166
3987.38376,-0.00167
3986.67578,-0.00167
3985.96779,-0.00167
3985.2598,-0.00167
3984.55181,-0.00167
3983.84383,-0.00167
3983.13584,-0.00167
3982.42785,-0.00167
3981.71987,-0.00166
3981.01188,-0.00166
3980.30389,-0.00165
3979.5959,-0.00165
3978.88792,-0.00164
3978.17993,-0.00164
3977.47194,-0.00163
3976.76396,-0.00163
3976.05597,-0.00162
3975.34798,-0.00162
3974.63999,-0.00162
3973.93201,-0.00161
3973.22402,-0.00161
3972.51603,-0.00161
3971.80805,-0.0016
3971.10006,-0.0016
3970.39207,-0.0016
3969.68408,-0.0016
3968.9761,-0.0016
3968.26811,-0.0016
3967.56012,-0.00159
3966.85213,-0.00159
3966.14415,-0.00159
3965.43616,-0.00159
3964.72817,-0.00159
3964.02019,-0.00159
3963.3122,-0.00159
3962.60421,-0.00159
3961.89622,-0.00159
3961.18824,-0.00159
3960.48025,-0.00159
3959.77226,-0.00159
3959.06428,-0.0016
3958.35629,-0.0016
3957.6483,-0.0016
3956.94031,-0.0016
3956.23233,-0.00161
3955.52434,-0.00161
3954.81635,-0.00161
3954.10837,-0.00161
3953.40038,-0.00162
3952.69239,-0.00162
3951.9844,-0.00162
3951.27642,-0.00162
3950.56843,-0.00162
3949.86044,-0.00162
3949.15246,-0.00162
3948.44447,-0.00163
3947.73648,-0.00163
3947.02849,-0.00163
3946.32051,-0.00163
3945.61252,-0.00164
3944.90453,-0.00164
3944.19655,-0.00164
3943.48856,-0.00165
3942.78057,-0.00165
3942.07258,-0.00165
3941.3646,-0.00166
3940.65661,-0.00166
3939.94862,-0.00166
3939.24064,-0.00167
3938.53265,-0.00167
3937.82466,-0.00167
3937.11667,-0.00167
3936.40869,-0.00167
3935.7007,-0.00167
3934.99271,-0.00167
3934.28472,-0.00167
3933.57674,-0.00167
3932.86875,-0.00167
3932.16076,-0.00167
3931.45278,-0.00167
3930.74479,-0.00167
3930.0368,-0.00167
3929.32881,-0.00166
3928.62083,-0.00166
3927.91284,-0.00166
3927.20485,-0.00166
3926.49687,-0.00165
3925.78888,-0.00165
3925.08089,-0.00165
3924.3729,-0.00164
3923.66492,-0.00164
3922.95693,-0.00163
3922.24894,-0.00162
3921.54096,-0.00161
3920.83297,-0.0016
3920.12498,-0.00159
3919.41699,-0.00158
3918.70901,-0.00157
3918.00102,-0.00155
3917.29303,-0.00154
3916.58505,-0.00152
3915.87706,-0.00151
3915.16907,-0.00149
3914.46108,-0.00147
3913.7531,-0.00146
3913.04511,-0.00144
3912.33712,-0.00143
3911.62914,-0.00142
3910.92115,-0.00141
3910.21316,-0.0014
3909.50517,-0.00139
3908.79719,-0.00139
3908.0892,-0.00139
3907.38121,-0.00139
3906.67323,-0.00139
3905.96524,-0.0014
3905.25725,-0.0014
3904.54926,-0.00142
3903.84128,-0.00143
3903.13329,-0.00144
3902.4253,-0.00146
3901.71731,-0.00148
3901.00933,-0.0015
3900.30134,-0.00152
3899.59335,-0.00155
3898.88537,-0.00157
3898.17738,-0.00159
3897.46939,-0.00161
3896.7614,-0.00163
3896.05342,-0.00166
3895.34543,-0.00168
3894.63744,-0.0017
3893.92946,-0.00171
3893.22147,-0.00173
3892.51348,-0.00175
3891.80549,-0.00176
3891.09751,-0.00178
3890.38952,-0.00179
3889.68153,-0.0018
3888.97355,-0.0018
3888.26556,-0.00181
3887.55757,-0.00182
3886.84958,-0.00182
3886.1416,-0.00182
3885.43361,-0.00182
3884.72562,-0.00182
3884.01764,-0.00181
3883.30965,-0.00181
3882.60166,-0.0018
3881.89367,-0.0018
3881.18569,-0.00179
3880.4777,-0.00178
3879.76971,-0.00178
3879.06173,-0.00177
3878.35374,-0.00176
3877.64575,-0.00176
3876.93776,-0.00175
3876.22978,-0.00175
3875.52179,-0.00175
3874.8138,-0.00175
3874.10582,-0.00175
3873.39783,-0.00175
3872.68984,-0.00175
3871.98185,-0.00175
3871.27387,-0.00175
3870.56588,-0.00176
3869.85789,-0.00176
3869.1499,-0.00177
3868.44192,-0.00177
3867.73393,-0.00178
3867.02594,-0.00179
3866.31796,-0.00179
3865.60997,-0.0018
3864.90198,-0.00181
3864.19399,-0.00182
3863.48601,-0.00183
3862.77802,-0.00185
3862.07003,-0.00186
3861.36205,-0.00188
3860.65406,-0.00189
3859.94607,-0.00191
3859.23808,-0.00193
3858.5301,-0.00195
3857.82211,-0.00197
3857.11412,-0.00198
3856.40614,-0.002
3855.69815,-0.00202
3854.99016,-0.00203
3854.28217,-0.00204
3853.57419,-0.00206
3852.8662,-0.00206
3852.15821,-0.00207
3851.45023,-0.00208
3850.74224,-0.00208
3850.03425,-0.00208
3849.32626,-0.00208
3848.61828,-0.00208
3847.91029,-0.00208
3847.2023,-0.00207
3846.49432,-0.00207
3845.78633,-0.00207
3845.07834,-0.00207
3844.37035,-0.00207
3843.66237,-0.00207
3842.95438,-0.00208
3842.24639,-0.00208
3841.53841,-0.00209
3840.83042,-0.0021
3840.12243,-0.00211
3839.41444,-0.00212
3838.70646,-0.00214
3837.99847,-0.00215
3837.29048,-0.00216
3836.58249,-0.00217
3835.87451,-0.00218
3835.16652,-0.00219
3834.45853,-0.0022
3833.75055,-0.00221
3833.04256,-0.00221
3832.33457,-0.00221
3831.62658,-0.00221
3830.9186,-0.00221
3830.21061,-0.00221
3829.50262,-0.0022
3828.79464,-0.0022
3828.08665,-0.00219
3827.37866,-0.00218
3826.67067,-0.00217
3825.96269,-0.00215
3825.2547,-0.00214
3824.54671,-0.00213
3823.83873,-0.00211
3823.13074,-0.0021
3822.42275,-0.00208
3821.71476,-0.00207
3821.00678,-0.00206
3820.29879,-0.00204
3819.5908,-0.00203
3818.88282,-0.00201
3818.17483,-0.002
3817.46684,-0.00198
3816.75885,-0.00197
3816.05087,-0.00196
3815.34288,-0.00195
3814.63489,-0.00193
3813.92691,-0.00192
3813.21892,-0.00191
3812.51093,-0.00191
3811.80294,-0.0019
3811.09496,-0.0019
3810.38697,-0.00189
3809.67898,-0.00189
3808.971,-0.00189
3808.26301,-0.00189
3807.55502,-0.00189
3806.84703,-0.0019
3806.13905,-0.0019
3805.43106,-0.0019
3804.72307,-0.0019
3804.01508,-0.0019
3803.3071,-0.00191
3802.59911,-0.0019
3801.89112,-0.0019
3801.18314,-0.0019
3800.47515,-0.0019
3799.76716,-0.00189
3799.05917,-0.00188
3798.35119,-0.00188
3797.6432,-0.00187
3796.93521,-0.00186
3796.22723,-0.00185
3795.51924,-0.00184
3794.81125,-0.00183
3794.10326,-0.00182
3793.39528,-0.00182
3792.68729,-0.00181
3791.9793,-0.00181
3791.27132,-0.00181
3790.56333,-0.00181
3789.85534,-0.00181
3789.14735,-0.00181
3788.43937,-0.00182
3787.73138,-0.00182
3787.02339,-0.00183
3786.31541,-0.00184
3785.60742,-0.00184
3784.89943,-0.00185
3784.19144,-0.00186
3783.48346,-0.00186
3782.77547,-0.00187
3782.06748,-0.00187
3781.3595,-0.00188
3780.65151,-0.00188
3779.94352,-0.00189
3779.23553,-0.00189
3778.52755,-0.00189
3777.81956,-0.0019
3777.11157,-0.0019
3776.40359,-0.00191
3775.6956,-0.00191
3774.98761,-0.00192
3774.27962,-0.00192
3773.57164,-0.00193
3772.86365,-0.00194
3772.15566,-0.00195
3771.44767,-0.00196
3770.73969,-0.00196
3770.0317,-0.00197
3769.32371,-0.00198
3768.61573,-0.00199
3767.90774,-0.002
3767.19975,-0.00201
3766.49176,-0.00202
3765.78378,-0.00203
3765.07579,-0.00204
3764.3678,-0.00204
3763.65982,-0.00205
3762.95183,-0.00206
3762.24384,-0.00207
3761.53585,-0.00208
3760.82787,-0.00208
3760.11988,-0.00209
3759.41189,-0.0021
3758.70391,-0.00211
3757.99592,-0.00212
3757.28793,-0.00214
3756.57994,-0.00215
3755.87196,-0.00216
3755.16397,-0.00217
3754.45598,-0.00218
3753.748,-0.00219
3753.04001,-0.0022
3752.33202,-0.00221
3751.62403,-0.00222
3750.91605,-0.00222
3750.20806,-0.00222
3749.50007,-0.00222
3748.79209,-0.00222
3748.0841,-0.00222
3747.37611,-0.00221
3746.66812,-0.0022
3745.96014,-0.00219
3745.25215,-0.00218
3744.54416,-0.00216
3743.83618,-0.00215
3743.12819,-0.00213
3742.4202,-0.00211
3741.71221,-0.00209
3741.00423,-0.00207
3740.29624,-0.00205
3739.58825,-0.00202
3738.88026,-0.002
3738.17228,-0.00198
3737.46429,-0.00196
3736.7563,-0.00193
3736.04832,-0.00191
3735.34033,-0.00189
3734.63234,-0.00187
3733.92435,-0.00185
3733.21637,-0.00183
3732.50838,-0.00181
3731.80039,-0.0018
3731.09241,-0.00178
3730.38442,-0.00177
3729.67643,-0.00177
3728.96844,-0.00176
3728.26046,-0.00176
3727.55247,-0.00176
3726.84448,-0.00176
3726.1365,-0.00177
3725.42851,-0.00178
3724.72052,-0.0018
3724.01253,-0.00181
3723.30455,-0.00183
3722.59656,-0.00186
3721.88857,-0.00188
3721.18059,-0.0019
3720.4726,-0.00193
3719.76461,-0.00196
3719.05662,-0.00198
3718.34864,-0.00201
3717.64065,-0.00204
3716.93266,-0.00206
3716.22468,-0.00208
3715.51669,-0.0021
3714.8087,-0.00212
3714.10071,-0.00213
3713.39273,-0.00214
3712.68474,-0.00215
3711.97675,-0.00216
3711.26877,-0.00216
3710.56078,-0.00216
3709.85279,-0.00215
3709.1448,-0.00215
3708.43682,-0.00214
3707.72883,-0.00213
3707.02084,-0.00212
3706.31285,-0.00211
3705.60487,-0.0021
3704.89688,-0.0021
3704.18889,-0.00209
3703.48091,-0.00209
3702.77292,-0.00209
3702.06493,-0.00209
3701.35694,-0.0021
3700.64896,-0.00211
3699.94097,-0.00212
3699.23298,-0.00214
3698.525,-0.00216
3697.81701,-0.00219
3697.10902,-0.00221
3696.40103,-0.00224
3695.69305,-0.00228
3694.98506,-0.00231
3694.27707,-0.00235
3693.56909,-0.00239
3692.8611,-0.00243
3692.15311,-0.00248
3691.44512,-0.00252
3690.73714,-0.00257
3690.02915,-0.00261
3689.32116,-0.00266
3688.61318,-0.00271
3687.90519,-0.00277
3687.1972,-0.00282
3686.48921,-0.00287
3685.78123,-0.00293
3685.07324,-0.00298
3684.36525,-0.00304
3683.65727,-0.0031
3682.94928,-0.00316
3682.24129,-0.00322
3681.5333,-0.00328
3680.82532,-0.00333
3680.11733,-0.00339
3679.40934,-0.00345
3678.70136,-0.00351
3677.99337,-0.00357
3677.28538,-0.00363
3676.57739,-0.00368
3675.86941,-0.00374
3675.16142,-0.00379
3674.45343,-0.00384
3673.74544,-0.00388
3673.03746,-0.00392
3672.32947,-0.00397
3671.62148,-0.004
3670.9135,-0.00404
3670.20551,-0.00407
3669.49752,-0.00411
3668.78953,-0.00414
3668.08155,-0.00417
3667.37356,-0.00421
3666.66557,-0.00424
3665.95759,-0.00427
3665.2496,-0.00431
3664.54161,-0.00435
3663.83362,-0.00439
3663.12564,-0.00444
3662.41765,-0.00449
3661.70966,-0.00455
3661.00168,-0.0046
3660.29369,-0.00467
3659.5857,-0.00474
3658.87771,-0.00482
3658.16973,-0.0049
3657.46174,-0.00498
3656.75375,-0.00508
3656.04577,-0.00517
3655.33778,-0.00528
3654.62979,-0.00539
3653.9218,-0.0055
3653.21382,-0.00561
3652.50583,-0.00573
3651.79784,-0.00586
3651.08986,-0.00598
3650.38187,-0.00611
3649.67388,-0.00624
3648.96589,-0.00637
3648.25791,-0.0065
3647.54992,-0.00663
3646.84193,-0.00676
3646.13395,-0.00689
3645.42596,-0.00701
3644.71797,-0.00713
3644.00998,-0.00725
3643.302,-0.00737
3642.59401,-0.00748
3641.88602,-0.00759
3641.17803,-0.00769
3640.47005,-0.0078
3639.76206,-0.0079
3639.05407,-0.00799
3638.34609,-0.00809
3637.6381,-0.00818
3636.93011,-0.00827
3636.22212,-0.00835
3635.51414,-0.00844
3634.80615,-0.00853
3634.09816,-0.00861
3633.39018,-0.0087
3632.68219,-0.00878
3631.9742,-0.00887
3631.26621,-0.00895
3630.55823,-0.00904
3629.85024,-0.00913
3629.14225,-0.00922
3628.43427,-0.00931
3627.72628,-0.00941
3627.01829,-0.00951
3626.3103,-0.0096
3625.60232,-0.00971
3624.89433,-0.00981
3624.18634,-0.00991
3623.47836,-0.01002
3622.77037,-0.01013
3622.06238,-0.01024
3621.35439,-0.01035
3620.64641,-0.01046
3619.93842,-0.01058
3619.23043,-0.01069
3618.52245,-0.0108
3617.81446,-0.01091
3617.10647,-0.01102
3616.39848,-0.01113
3615.6905,-0.01124
3614.98251,-0.01134
3614.27452,-0.01145
3613.56654,-0.01154
3612.85855,-0.01164
3612.15056,-0.01173
3611.44257,-0.01181
3610.73459,-0.0119
3610.0266,-0.01198
3609.31861,-0.01205
3608.61063,-0.01212
3607.90264,-0.01219
