X(Numero de onda),Y(Abs)
3998.71156,-0.00472
3998.00357,-0.00472
3997.29558,-0.00471
3996.5876,-0.0047
3995.87961,-0.0047
3995.17162,-0.00469
3994.46363,-0.00469
3993.75565,-0.00468
3993.04766,-0.00468
3992.33967,-0.00467
3991.63169,-0.00467
3990.9237,-0.00466
3990.21571,-0.00466
3989.50772,-0.00465
3988.79974,-0.00464
3988.09175,-0.00464
3987.38376,-0.00463
3986.67578,-0.00463
3985.96779,-0.00462
3985.2598,-0.00461
3984.55181,-0.0046
3983.84383,-0.0046
3983.13584,-0.00459
3982.42785,-0.00458
3981.71987,-0.00457
3981.01188,-0.00456
3980.30389,-0.00456
3979.5959,-0.00455
3978.88792,-0.00454
3978.17993,-0.00454
3977.47194,-0.00453
3976.76396,-0.00453
3976.05597,-0.00452
3975.34798,-0.00452
3974.63999,-0.00451
3973.93201,-0.00451
3973.22402,-0.00451
3972.51603,-0.00451
3971.80805,-0.00451
3971.10006,-0.0045
3970.39207,-0.0045
3969.68408,-0.0045
3968.9761,-0.0045
3968.26811,-0.0045
3967.56012,-0.00449
3966.85213,-0.00449
3966.14415,-0.00448
3965.43616,-0.00447
3964.72817,-0.00446
3964.02019,-0.00445
3963.3122,-0.00443
3962.60421,-0.00441
3961.89622,-0.00439
3961.18824,-0.00436
3960.48025,-0.00433
3959.77226,-0.0043
3959.06428,-0.00426
3958.35629,-0.00422
3957.6483,-0.00417
3956.94031,-0.00412
3956.23233,-0.00407
3955.52434,-0.00402
3954.81635,-0.00397
3954.10837,-0.00391
3953.40038,-0.00386
3952.69239,-0.0038
3951.9844,-0.00375
3951.27642,-0.0037
3950.56843,-0.00364
3949.86044,-0.00359
3949.15246,-0.00355
3948.44447,-0.0035
3947.73648,-0.00346
3947.02849,-0.00343
3946.32051,-0.0034
3945.61252,-0.00337
3944.90453,-0.00335
3944.19655,-0.00333
3943.48856,-0.00331
3942.78057,-0.0033
3942.07258,-0.00329
3941.3646,-0.00328
3940.65661,-0.00327
3939.94862,-0.00327
3939.24064,-0.00326
3938.53265,-0.00325
3937.82466,-0.00324
3937.11667,-0.00324
3936.40869,-0.00323
3935.7007,-0.00321
3934.99271,-0.0032
3934.28472,-0.00319
3933.57674,-0.00317
3932.86875,-0.00315
3932.16076,-0.00313
3931.45278,-0.00311
3930.74479,-0.00309
3930.0368,-0.00307
3929.32881,-0.00305
3928.62083,-0.00303
3927.91284,-0.00301
3927.20485,-0.00299
3926.49687,-0.00297
3925.78888,-0.00296
3925.08089,-0.00295
3924.3729,-0.00294
3923.66492,-0.00293
3922.95693,-0.00292
3922.24894,-0.00292
3921.54096,-0.00291
3920.83297,-0.00291
3920.12498,-0.00291
3919.41699,-0.00292
3918.70901,-0.00292
3918.00102,-0.00292
3917.29303,-0.00292
3916.58505,-0.00292
3915.87706,-0.00292
3915.16907,-0.00291
3914.46108,-0.0029
3913.7531,-0.00288
3913.04511,-0.00286
3912.33712,-0.00284
3911.62914,-0.00281
3910.92115,-0.00277
3910.21316,-0.00272
3909.50517,-0.00267
3908.79719,-0.00261
3908.0892,-0.00254
3907.38121,-0.00247
3906.67323,-0.00239
3905.96524,-0.00231
3905.25725,-0.00222
3904.54926,-0.00214
3903.84128,-0.00205
3903.13329,-0.00196
3902.4253,-0.00188
3901.71731,-0.0018
3901.00933,-0.00173
3900.30134,-0.00167
3899.59335,-0.00161
3898.88537,-0.00157
3898.17738,-0.00153
3897.46939,-0.00151
3896.7614,-0.00149
3896.05342,-0.00149
3895.34543,-0.00149
3894.63744,-0.00149
3893.92946,-0.00151
3893.22147,-0.00152
3892.51348,-0.00154
3891.80549,-0.00156
3891.09751,-0.00158
3890.38952,-0.00159
3889.68153,-0.0016
3888.97355,-0.00161
3888.26556,-0.00162
3887.55757,-0.00163
3886.84958,-0.00163
3886.1416,-0.00162
3885.43361,-0.00162
3884.72562,-0.00161
3884.01764,-0.0016
3883.30965,-0.00159
3882.60166,-0.00157
3881.89367,-0.00155
3881.18569,-0.00153
3880.4777,-0.0015
3879.76971,-0.00148
3879.06173,-0.00145
3878.35374,-0.00142
3877.64575,-0.00139
3876.93776,-0.00136
3876.22978,-0.00133
3875.52179,-0.00129
3874.8138,-0.00126
3874.10582,-0.00122
3873.39783,-0.00118
3872.68984,-0.00114
3871.98185,-0.00111
3871.27387,-0.00107
3870.56588,-0.00103
3869.85789,-0.00099
3869.1499,-0.00095
3868.44192,-0.00092
3867.73393,-0.00089
3867.02594,-0.00086
3866.31796,-0.00084
3865.60997,-0.00083
3864.90198,-0.00082
3864.19399,-0.00081
3863.48601,-0.00082
3862.77802,-0.00082
3862.07003,-0.00084
3861.36205,-0.00086
3860.65406,-0.00088
3859.94607,-0.0009
3859.23808,-0.00093
3858.5301,-0.00095
3857.82211,-0.00098
3857.11412,-0.001
3856.40614,-0.00102
3855.69815,-0.00104
3854.99016,-0.00105
3854.28217,-0.00105
3853.57419,-0.00105
3852.8662,-0.00103
3852.15821,-0.00102
3851.45023,-0.001
3850.74224,-0.00098
3850.03425,-0.00095
3849.32626,-0.00093
3848.61828,-0.00091
3847.91029,-0.0009
3847.2023,-0.00089
3846.49432,-0.00088
3845.78633,-0.00088
3845.07834,-0.00088
3844.37035,-0.00089
3843.66237,-0.0009
3842.95438,-0.00091
3842.24639,-0.00092
3841.53841,-0.00094
3840.83042,-0.00095
3840.12243,-0.00097
3839.41444,-0.00098
3838.70646,-0.001
3837.99847,-0.00101
3837.29048,-0.00103
3836.58249,-0.00105
3835.87451,-0.00107
3835.16652,-0.00109
3834.45853,-0.00112
3833.75055,-0.00114
3833.04256,-0.00118
3832.33457,-0.00121
3831.62658,-0.00124
3830.9186,-0.00128
3830.21061,-0.00131
3829.50262,-0.00135
3828.79464,-0.00139
3828.08665,-0.00143
3827.37866,-0.00146
3826.67067,-0.0015
3825.96269,-0.00153
3825.2547,-0.00156
3824.54671,-0.00159
3823.83873,-0.00161
3823.13074,-0.00164
3822.42275,-0.00166
3821.71476,-0.00168
3821.00678,-0.0017
3820.29879,-0.00171
3819.5908,-0.00173
3818.88282,-0.00174
3818.17483,-0.00176
3817.46684,-0.00177
3816.75885,-0.00179
3816.05087,-0.00181
3815.34288,-0.00182
3814.63489,-0.00184
3813.92691,-0.00186
3813.21892,-0.00188
3812.51093,-0.0019
3811.80294,-0.00192
3811.09496,-0.00194
3810.38697,-0.00195
3809.67898,-0.00197
3808.971,-0.00197
3808.26301,-0.00198
3807.55502,-0.00198
3806.84703,-0.00198
3806.13905,-0.00197
3805.43106,-0.00197
3804.72307,-0.00196
3804.01508,-0.00195
3803.3071,-0.00195
3802.59911,-0.00195
3801.89112,-0.00195
3801.18314,-0.00196
3800.47515,-0.00197
3799.76716,-0.002
3799.05917,-0.00203
3798.35119,-0.00207
3797.6432,-0.00212
3796.93521,-0.00218
3796.22723,-0.00225
3795.51924,-0.00232
3794.81125,-0.0024
3794.10326,-0.00249
3793.39528,-0.00258
3792.68729,-0.00267
3791.9793,-0.00276
3791.27132,-0.00285
3790.56333,-0.00293
3789.85534,-0.00302
3789.14735,-0.0031
3788.43937,-0.00318
3787.73138,-0.00325
3787.02339,-0.00331
3786.31541,-0.00337
3785.60742,-0.00342
3784.89943,-0.00347
3784.19144,-0.00351
3783.48346,-0.00354
3782.77547,-0.00357
3782.06748,-0.00359
3781.3595,-0.0036
3780.65151,-0.00361
3779.94352,-0.00362
3779.23553,-0.00362
3778.52755,-0.00361
3777.81956,-0.0036
3777.11157,-0.00358
3776.40359,-0.00356
3775.6956,-0.00354
3774.98761,-0.00351
3774.27962,-0.00347
3773.57164,-0.00343
3772.86365,-0.00338
3772.15566,-0.00333
3771.44767,-0.00327
3770.73969,-0.0032
3770.0317,-0.00313
3769.32371,-0.00305
3768.61573,-0.00296
3767.90774,-0.00287
3767.19975,-0.00276
3766.49176,-0.00266
3765.78378,-0.00255
3765.07579,-0.00243
3764.3678,-0.00231
3763.65982,-0.00219
3762.95183,-0.00206
3762.24384,-0.00193
3761.53585,-0.0018
3760.82787,-0.00166
3760.11988,-0.00152
3759.41189,-0.00138
3758.70391,-0.00123
3757.99592,-0.00108
3757.28793,-0.00092
3756.57994,-0.00076
3755.87196,-0.0006
3755.16397,-0.00043
3754.45598,-0.00027
3753.748,-0.0001
3753.04001,0.00007
3752.33202,0.00024
3751.62403,0.00041
3750.91605,0.00057
3750.20806,0.00074
3749.50007,0.0009
3748.79209,0.00106
3748.0841,0.00121
3747.37611,0.00135
3746.66812,0.00149
3745.96014,0.00162
3745.25215,0.00174
3744.54416,0.00185
3743.83618,0.00195
3743.12819,0.00204
3742.4202,0.00212
3741.71221,0.00218
3741.00423,0.00223
3740.29624,0.00227
3739.58825,0.00229
3738.88026,0.0023
3738.17228,0.00229
3737.46429,0.00227
3736.7563,0.00225
3736.04832,0.0022
3735.34033,0.00215
3734.63234,0.00209
3733.92435,0.00202
3733.21637,0.00194
3732.50838,0.00186
3731.80039,0.00176
3731.09241,0.00166
3730.38442,0.00155
3729.67643,0.00143
3728.96844,0.0013
3728.26046,0.00117
3727.55247,0.00103
3726.84448,0.00088
3726.1365,0.00074
3725.42851,0.00059
3724.72052,0.00043
3724.01253,0.00028
3723.30455,0.00013
3722.59656,-0.00002
3721.88857,-0.00017
3721.18059,-0.00031
3720.4726,-0.00045
3719.76461,-0.00059
3719.05662,-0.00073
3718.34864,-0.00086
3717.64065,-0.00098
3716.93266,-0.00111
3716.22468,-0.00122
3715.51669,-0.00134
3714.8087,-0.00145
3714.10071,-0.00155
3713.39273,-0.00165
3712.68474,-0.00175
3711.97675,-0.00183
3711.26877,-0.00192
3710.56078,-0.002
3709.85279,-0.00208
3709.1448,-0.00215
3708.43682,-0.00222
3707.72883,-0.0023
3707.02084,-0.00237
3706.31285,-0.00244
3705.60487,-0.00252
3704.89688,-0.00259
3704.18889,-0.00267
3703.48091,-0.00274
3702.77292,-0.00281
3702.06493,-0.00288
3701.35694,-0.00295
3700.64896,-0.00301
3699.94097,-0.00307
3699.23298,-0.00312
3698.525,-0.00317
3697.81701,-0.00321
3697.10902,-0.00326
3696.40103,-0.00329
3695.69305,-0.00333
3694.98506,-0.00336
3694.27707,-0.00339
3693.56909,-0.00341
3692.8611,-0.00343
3692.15311,-0.00345
3691.44512,-0.00346
3690.73714,-0.00347
3690.02915,-0.00347
3689.32116,-0.00347
3688.61318,-0.00347
3687.90519,-0.00347
3687.1972,-0.00347
3686.48921,-0.00346
3685.78123,-0.00346
3685.07324,-0.00346
3684.36525,-0.00347
3683.65727,-0.00348
3682.94928,-0.00349
3682.24129,-0.00351
3681.5333,-0.00353
3680.82532,-0.00355
3680.11733,-0.00358
3679.40934,-0.00361
3678.70136,-0.00364
3677.99337,-0.00367
3677.28538,-0.00371
3676.57739,-0.00375
3675.86941,-0.00379
3675.16142,-0.00384
3674.45343,-0.00389
3673.74544,-0.00395
3673.03746,-0.00401
3672.32947,-0.00409
3671.62148,-0.00417
3670.9135,-0.00427
3670.20551,-0.00437
3669.49752,-0.00448
3668.78953,-0.0046
3668.08155,-0.00473
3667.37356,-0.00486
3666.66557,-0.005
3665.95759,-0.00514
3665.2496,-0.00529
3664.54161,-0.00543
3663.83362,-0.00557
3663.12564,-0.0057
3662.41765,-0.00583
3661.70966,-0.00595
3661.00168,-0.00606
3660.29369,-0.00616
3659.5857,-0.00626
3658.87771,-0.00634
3658.16973,-0.00641
3657.46174,-0.00647
3656.75375,-0.00653
3656.04577,-0.00657
3655.33778,-0.00661
3654.62979,-0.00665
3653.9218,-0.00668
3653.21382,-0.00671
3652.50583,-0.00674
3651.79784,-0.00678
3651.08986,-0.00681
3650.38187,-0.00686
3649.67388,-0.00691
3648.96589,-0.00697
3648.25791,-0.00703
3647.54992,-0.00711
3646.84193,-0.0072
3646.13395,-0.00729
3645.42596,-0.0074
3644.71797,-0.00752
3644.00998,-0.00764
3643.302,-0.00777
3642.59401,-0.00791
3641.88602,-0.00805
3641.17803,-0.00819
3640.47005,-0.00833
3639.76206,-0.00846
3639.05407,-0.00859
3638.34609,-0.00871
3637.6381,-0.00882
3636.93011,-0.00892
3636.22212,-0.009
3635.51414,-0.00908
3634.80615,-0.00914
3634.09816,-0.00918
3633.39018,-0.00921
3632.68219,-0.00923
3631.9742,-0.00924
3631.26621,-0.00923
3630.55823,-0.00922
3629.85024,-0.0092
3629.14225,-0.00917
3628.43427,-0.00914
3627.72628,-0.0091
3627.01829,-0.00907
3626.3103,-0.00903
3625.60232,-0.009
3624.89433,-0.00898
3624.18634,-0.00895
3623.47836,-0.00894
3622.77037,-0.00893
3622.06238,-0.00892
3621.35439,-0.00893
3620.64641,-0.00893
3619.93842,-0.00895
3619.23043,-0.00896
3618.52245,-0.00899
3617.81446,-0.00901
3617.10647,-0.00904
3616.39848,-0.00908
3615.6905,-0.00912
3614.98251,-0.00916
3614.27452,-0.00922
3613.56654,-0.00928
3612.85855,-0.00934
3612.15056,-0.00942
3611.44257,-0.0095
3610.73459,-0.00958
3610.0266,-0.00967
3609.31861,-0.00977
3608.61063,-0.00987
3607.90264,-0.00997
3607.19465,-0.01007
3606.48666,-0.01017
3605.77868,-0.01028
3605.07069,-0.01038
3604.3627,-0.01047
3603.65471,-0.01057
3602.94673,-0.01065
3602.23874,-0.01074
3601.53075,-0.01082
3600.82277,-0.01089
3600.11478,-0.01095
3599.40679,-0.01101
3598.6988,-0.01107
3597.99082,-0.01112
3597.28283,-0.01116
3596.57484,-0.0112
3595.86686,-0.01124
3595.15887,-0.01128
3594.45088,-0.01131
3593.74289,-0.01135
3593.03491,-0.01139
3592.32692,-0.01144
3591.61893,-0.01149
3590.91095,-0.01154
3590.20296,-0.0116
3589.49497,-0.01167
3588.78698,-0.01174
3588.079,-0.01182
3587.37101,-0.0119
3586.66302,-0.01199
3585.95504,-0.01208
3585.24705,-0.01217
3584.53906,-0.01227
3583.83107,-0.01237
3583.12309,-0.01247
3582.4151,-0.01256
3581.70711,-0.01266
3580.99913,-0.01275
3580.29114,-0.01283
3579.58315,-0.0129
3578.87516,-0.01296
3578.16718,-0.01302
3577.45919,-0.01306
3576.7512,-0.01308
3576.04322,-0.01309
3575.33523,-0.01309
3574.62724,-0.01308
3573.91925,-0.01306
3573.21127,-0.01302
3572.50328,-0.01298
3571.79529,-0.01293
3571.0873,-0.01287
3570.37932,-0.01281
3569.67133,-0.01276
3568.96334,-0.0127
3568.25536,-0.01265
3567.54737,-0.01261
3566.83938,-0.01257
3566.13139,-0.01255
3565.42341,-0.01254
3564.71542,-0.01254
3564.00743,-0.01255
3563.29945,-0.01257
3562.59146,-0.01261
3561.88347,-0.01266
3561.17548,-0.01272
3560.4675,-0.01278
