X(Numero de onda),Y(Abs)
3998.71156,-0.00374
3998.00357,-0.00374
3997.29558,-0.00373
3996.5876,-0.00372
3995.87961,-0.00372
3995.17162,-0.00371
3994.46363,-0.00371
3993.75565,-0.0037
3993.04766,-0.00369
3992.33967,-0.00369
3991.63169,-0.00368
3990.9237,-0.00368
3990.21571,-0.00367
3989.50772,-0.00367
3988.79974,-0.00367
3988.09175,-0.00366
3987.38376,-0.00366
3986.67578,-0.00366
3985.96779,-0.00365
3985.2598,-0.00365
3984.55181,-0.00365
3983.84383,-0.00365
3983.13584,-0.00365
3982.42785,-0.00365
3981.71987,-0.00365
3981.01188,-0.00365
3980.30389,-0.00365
3979.5959,-0.00365
3978.88792,-0.00365
3978.17993,-0.00365
3977.47194,-0.00365
3976.76396,-0.00365
3976.05597,-0.00365
3975.34798,-0.00365
3974.63999,-0.00365
3973.93201,-0.00365
3973.22402,-0.00365
3972.51603,-0.00364
3971.80805,-0.00364
3971.10006,-0.00364
3970.39207,-0.00363
3969.68408,-0.00362
3968.9761,-0.00362
3968.26811,-0.00361
3967.56012,-0.0036
3966.85213,-0.00359
3966.14415,-0.00358
3965.43616,-0.00356
3964.72817,-0.00355
3964.02019,-0.00353
3963.3122,-0.00352
3962.60421,-0.0035
3961.89622,-0.00348
3961.18824,-0.00346
3960.48025,-0.00344
3959.77226,-0.00342
3959.06428,-0.0034
3958.35629,-0.00337
3957.6483,-0.00335
3956.94031,-0.00333
3956.23233,-0.0033
3955.52434,-0.00327
3954.81635,-0.00325
3954.10837,-0.00322
3953.40038,-0.0032
3952.69239,-0.00317
3951.9844,-0.00315
3951.27642,-0.00312
3950.56843,-0.0031
3949.86044,-0.00308
3949.15246,-0.00306
3948.44447,-0.00304
3947.73648,-0.00302
3947.02849,-0.00301
3946.32051,-0.003
3945.61252,-0.00299
3944.90453,-0.00298
3944.19655,-0.00298
3943.48856,-0.00298
3942.78057,-0.00297
3942.07258,-0.00297
3941.3646,-0.00297
3940.65661,-0.00297
3939.94862,-0.00296
3939.24064,-0.00296
3938.53265,-0.00295
3937.82466,-0.00295
3937.11667,-0.00294
3936.40869,-0.00293
3935.7007,-0.00291
3934.99271,-0.0029
3934.28472,-0.00288
3933.57674,-0.00287
3932.86875,-0.00285
3932.16076,-0.00283
3931.45278,-0.00281
3930.74479,-0.0028
3930.0368,-0.00278
3929.32881,-0.00276
3928.62083,-0.00275
3927.91284,-0.00274
3927.20485,-0.00273
3926.49687,-0.00272
3925.78888,-0.00271
3925.08089,-0.00271
3924.3729,-0.0027
3923.66492,-0.0027
3922.95693,-0.00271
3922.24894,-0.00271
3921.54096,-0.00271
3920.83297,-0.00272
3920.12498,-0.00273
3919.41699,-0.00273
3918.70901,-0.00274
3918.00102,-0.00275
3917.29303,-0.00275
3916.58505,-0.00276
3915.87706,-0.00276
3915.16907,-0.00276
3914.46108,-0.00276
3913.7531,-0.00275
3913.04511,-0.00274
3912.33712,-0.00273
3911.62914,-0.00271
3910.92115,-0.00269
3910.21316,-0.00266
3909.50517,-0.00262
3908.79719,-0.00258
3908.0892,-0.00254
3907.38121,-0.00249
3906.67323,-0.00244
3905.96524,-0.00238
3905.25725,-0.00232
3904.54926,-0.00227
3903.84128,-0.00221
3903.13329,-0.00215
3902.4253,-0.0021
3901.71731,-0.00205
3901.00933,-0.002
3900.30134,-0.00196
